SYMBOL,Time,OMDSEQ,ASK_SIZE,ASK_PRICE,BID_SIZE,BID_PRICE
AA,2015-01-03 06:58:00.156604,0,0,0.0,0,0.0
AA,2015-01-03 07:24:40.942029,0,0,0.0,1,21.44
AA,2015-01-03 07:24:40.942046,1,1,26.34,1,21.44
AA,2015-01-03 07:32:21.868951,0,0,0.0,1,21.44
AA,2015-01-03 07:32:21.868979,1,1,26.33,1,21.44
AA,2015-01-03 07:53:35.833081,0,1,26.33,0,0.0
AA,2015-01-03 07:53:35.833503,1,0,0.0,0,0.0
AA,2015-01-03 07:54:16.131001,0,1,26.32,0,0.0
AA,2015-01-03 07:54:16.131194,1,1,26.32,1,21.42
AA,2015-01-03 07:54:33.450463,0,1,26.32,0,0.0
AA,2015-01-03 07:54:33.450573,1,1,26.29,0,0.0
AA,2015-01-03 07:54:33.450758,2,1,26.29,1,21.45
AA,2015-01-03 07:54:39.828643,0,1,26.29,0,0.0
AA,2015-01-03 07:54:39.828688,1,1,26.29,1,21.46
AA,2015-01-03 07:56:35.113236,0,0,0.0,1,21.46
AA,2015-01-03 07:56:35.113254,1,0,0.0,0,0.0
AA,2015-01-03 07:56:35.113279,2,0,0.0,1,21.44
AA,2015-01-03 07:56:35.113319,3,1,26.31,1,21.44
AA,2015-01-03 08:23:25.263527,0,1,199999.99,0,0.0
AA,2015-01-03 08:23:25.263541,1,1,199999.99,1,0.01
AA,2015-01-03 08:38:13.119502,0,1,26.31,0,0.0
AA,2015-01-03 08:38:13.119592,1,0,0.0,0,0.0
AA,2015-01-03 08:38:38.833456,0,1,26.26,0,0.0
AA,2015-01-03 08:38:38.833472,1,1,26.26,1,21.43
AA,2015-01-03 08:50:23.055159,0,1,26.26,1,21.44
AA,2015-01-03 08:51:04.663369,0,0,0.0,1,21.44
AA,2015-01-03 08:51:04.663502,1,0,0.0,0,0.0
AA,2015-01-03 08:51:16.977036,0,0,0.0,1,21.44
AA,2015-01-03 08:51:16.977096,1,1,26.28,1,21.44
AA,2015-01-03 08:51:46.466216,0,1,26.28,0,0.0
AA,2015-01-03 08:51:46.466232,1,1,26.28,1,21.45
AA,2015-01-03 09:03:13.763486,0,1,24.53,1,21.45
AA,2015-01-03 09:03:13.763844,1,1,24.53,1,23.33
AA,2015-01-03 09:28:33.852057,0,0,0.0,1,21.81
AA,2015-01-03 09:28:33.852095,1,1,26.13,1,21.81
AA,2015-01-03 09:28:33.895958,0,1,199999.99,1,21.81
AA,2015-01-03 09:28:33.895993,1,1,26.13,1,21.81
AA,2015-01-03 09:28:33.899194,0,1,26.13,1,22.39
AA,2015-01-03 09:28:33.899268,1,1,25.52,1,22.39
AA,2015-01-03 09:28:34.759794,0,1,26.13,1,22.39
AA,2015-01-03 09:28:34.759832,1,1,25.52,1,22.39
AA,2015-01-03 09:29:30.006197,0,6,24.53,1,23.33
AA,2015-01-03 09:29:30.006197,1,5,24.53,1,22.39
AA,2015-01-03 09:29:41.329203,0,6,24.53,6,23.33
AA,2015-01-03 09:29:55.324959,0,5,24.53,5,23.33
AA,2015-01-03 09:29:56.304607,0,1,25.52,1,22.86
AA,2015-01-03 09:29:56.304647,1,1,25.02,1,22.86
AA,2015-01-03 09:30:00.070381,0,6,24.53,6,23.33
AA,2015-01-03 09:30:46.931635,0,6,24.53,3,23.67
AA,2015-01-03 09:30:46.931785,1,6,24.53,3,23.68
AA,2015-01-03 09:30:46.932106,0,6,24.53,3,23.69
AA,2015-01-03 09:30:46.932737,1,5,24.53,1,22.39
AA,2015-01-03 09:30:46.932865,2,3,24.03,3,23.69
AA,2015-01-03 09:30:46.933192,0,3,24.02,3,23.69
AA,2015-01-03 09:30:46.933465,1,3,24.02,6,23.69
AA,2015-01-03 09:30:46.934114,0,3,24.01,6,23.69
AA,2015-01-03 09:30:46.934208,1,1,25.52,1,22.39
AA,2015-01-03 09:30:46.934543,2,3,23.95,6,23.69
AA,2015-01-03 09:30:46.934882,3,1,25.52,1,22.74
AA,2015-01-03 09:30:46.934923,4,1,25.0,1,22.74
AA,2015-01-03 09:30:46.935146,0,3,23.94,6,23.69
AA,2015-01-03 09:30:46.935565,1,1,25.0,1,22.86
AA,2015-01-03 09:30:46.935870,2,3,23.93,6,23.69
AA,2015-01-03 09:30:46.937785,0,3,23.93,3,23.71
AA,2015-01-03 09:30:46.938428,0,3,23.93,3,23.72
AA,2015-01-03 09:30:46.938867,1,3,23.93,3,23.73
AA,2015-01-03 09:30:46.939152,0,1,25.0,1,22.74
AA,2015-01-03 09:30:46.939228,1,1,25.0,1,23.2
AA,2015-01-03 09:30:46.939426,2,1,24.51,1,23.2
AA,2015-01-03 09:30:56.563476,0,1,25.0,5,23.73
AA,2015-01-03 09:30:59.415218,0,6,23.93,3,23.73
AA,2015-01-03 09:30:59.415321,1,3,23.92,3,23.73
AA,2015-01-03 09:31:00.119013,0,1,25.0,1,22.74
AA,2015-01-03 09:31:09.749155,0,3,23.92,8,23.73
AA,2015-01-03 09:31:09.768186,0,1,25.0,5,23.73
AA,2015-01-03 09:31:09.914953,0,3,23.93,8,23.73
AA,2015-01-03 09:31:16.674323,0,6,23.93,8,23.73
AA,2015-01-03 09:31:16.674369,1,3,23.92,8,23.73
AA,2015-01-03 09:31:17.129263,0,1,25.0,1,22.74
AA,2015-01-03 09:31:41.677369,0,1,25.0,5,23.73
AA,2015-01-03 09:31:45.658380,0,5,23.92,5,23.73
AA,2015-01-03 09:31:45.658479,1,8,23.92,8,23.73
AA,2015-01-03 09:31:45.665723,0,11,23.92,8,23.73
AA,2015-01-03 09:31:45.665998,1,3,23.91,8,23.73
AA,2015-01-03 09:31:45.667061,0,1,25.0,5,23.73
AA,2015-01-03 09:31:45.680616,0,1,25.0,1,23.2
AA,2015-01-03 09:31:45.680680,1,1,24.39,1,23.2
AA,2015-01-03 09:31:45.755537,0,1,25.0,1,22.74
AA,2015-01-03 09:31:46.746109,0,8,23.91,8,23.73
AA,2015-01-03 09:31:49.715157,0,3,23.91,8,23.73
AA,2015-01-03 09:31:52.167002,0,6,23.91,8,23.73
AA,2015-01-03 09:31:52.167065,1,3,23.9,8,23.73
AA,2015-01-03 09:31:54.914929,0,3,23.91,8,23.73
AA,2015-01-03 09:31:56.024447,0,1,25.0,5,23.73
AA,2015-01-03 09:31:56.165087,0,6,23.91,8,23.73
AA,2015-01-03 09:31:56.165164,1,3,23.9,8,23.73
AA,2015-01-03 09:31:56.415101,0,3,23.91,8,23.73
AA,2015-01-03 09:31:58.665066,0,6,23.91,8,23.73
AA,2015-01-03 09:31:58.665215,1,3,23.9,8,23.73
AA,2015-01-03 09:32:16.165659,0,3,23.91,8,23.73
AA,2015-01-03 09:32:39.615014,0,1,25.0,1,22.74
AA,2015-01-03 09:32:47.953596,0,1,25.0,5,23.73
AA,2015-01-03 09:32:52.267755,0,1,25.0,1,22.74
AA,2015-01-03 09:32:54.458577,0,3,23.91,3,23.73
AA,2015-01-03 09:33:00.665685,0,6,23.91,3,23.73
AA,2015-01-03 09:33:00.665705,1,3,23.9,3,23.73
AA,2015-01-03 09:33:07.821165,0,3,23.9,8,23.73
AA,2015-01-03 09:33:13.358337,0,1,25.0,5,23.73
AA,2015-01-03 09:33:20.166256,0,3,23.91,8,23.73
AA,2015-01-03 09:33:20.167130,0,3,23.91,11,23.73
AA,2015-01-03 09:33:20.167513,1,3,23.91,3,23.74
AA,2015-01-03 09:33:20.168268,0,1,25.0,1,22.74
AA,2015-01-03 09:33:25.800150,0,3,23.91,8,23.74
AA,2015-01-03 09:33:28.415399,0,3,23.92,8,23.74
AA,2015-01-03 09:33:37.033633,0,1,25.0,5,23.74
AA,2015-01-03 09:33:39.414572,0,6,23.92,8,23.74
AA,2015-01-03 09:33:39.414720,1,3,23.91,8,23.74
AA,2015-01-03 09:34:01.164352,0,3,23.91,11,23.74
AA,2015-01-03 09:34:01.164370,1,3,23.91,3,23.75
AA,2015-01-03 09:34:01.165400,0,1,25.0,1,22.74
AA,2015-01-03 09:34:03.428879,0,3,23.91,8,23.75
AA,2015-01-03 09:34:08.042926,0,1,25.0,5,23.75
AA,2015-01-03 09:34:09.825546,0,5,23.91,5,23.75
AA,2015-01-03 09:34:09.825673,1,8,23.91,8,23.75
AA,2015-01-03 09:34:14.912347,0,1,25.0,5,23.75
AA,2015-01-03 09:34:14.912485,1,3,23.91,8,23.75
AA,2015-01-03 09:34:15.512181,0,5,23.91,5,23.75
AA,2015-01-03 09:34:15.512272,1,8,23.91,8,23.75
AA,2015-01-03 09:34:15.512935,2,1,25.0,5,23.75
AA,2015-01-03 09:34:15.513036,0,3,23.91,8,23.75
AA,2015-01-03 09:34:15.832924,0,5,23.91,5,23.75
AA,2015-01-03 09:34:15.833053,0,8,23.91,8,23.75
AA,2015-01-03 09:34:15.833807,1,1,25.0,5,23.75
AA,2015-01-03 09:34:15.834697,0,3,23.91,8,23.75
AA,2015-01-03 09:34:16.105219,0,5,23.91,5,23.75
AA,2015-01-03 09:34:16.105322,1,8,23.91,8,23.75
AA,2015-01-03 09:34:16.108735,0,1,25.0,5,23.75
AA,2015-01-03 09:34:16.108949,1,3,23.91,8,23.75
AA,2015-01-03 09:34:16.109892,0,5,23.91,5,23.75
AA,2015-01-03 09:34:16.109996,1,8,23.91,8,23.75
AA,2015-01-03 09:34:16.250817,0,1,25.0,5,23.75
AA,2015-01-03 09:34:16.250961,1,3,23.91,8,23.75
AA,2015-01-03 09:34:16.710333,0,5,23.91,5,23.75
AA,2015-01-03 09:34:16.710507,1,8,23.91,8,23.75
AA,2015-01-03 09:34:16.802328,0,1,25.0,5,23.75
AA,2015-01-03 09:34:16.802462,1,3,23.91,8,23.75
AA,2015-01-03 09:34:16.908037,0,5,23.91,5,23.75
AA,2015-01-03 09:34:16.908155,1,8,23.91,8,23.75
AA,2015-01-03 09:34:17.331132,0,1,25.0,5,23.75
AA,2015-01-03 09:34:17.331234,1,3,23.91,8,23.75
AA,2015-01-03 09:34:17.372150,0,5,23.91,5,23.75
AA,2015-01-03 09:34:17.372327,1,8,23.91,8,23.75
AA,2015-01-03 09:34:17.393147,0,1,25.0,5,23.75
AA,2015-01-03 09:34:17.393300,1,3,23.91,8,23.75
AA,2015-01-03 09:34:17.435684,0,5,23.91,5,23.75
AA,2015-01-03 09:34:17.436019,0,8,23.91,8,23.75
AA,2015-01-03 09:34:17.673723,0,1,25.0,5,23.75
AA,2015-01-03 09:34:17.673898,1,3,23.91,8,23.75
AA,2015-01-03 09:34:17.786286,0,5,23.91,5,23.75
AA,2015-01-03 09:34:17.786459,1,8,23.91,8,23.75
AA,2015-01-03 09:34:17.786874,2,1,25.0,5,23.75
AA,2015-01-03 09:34:17.787001,0,3,23.91,8,23.75
AA,2015-01-03 09:34:18.219794,0,5,23.91,5,23.75
AA,2015-01-03 09:34:18.219917,1,8,23.91,8,23.75
AA,2015-01-03 09:34:18.241317,0,1,25.0,5,23.75
AA,2015-01-03 09:34:18.241473,1,3,23.91,8,23.75
AA,2015-01-03 09:34:18.631641,0,5,23.91,5,23.75
AA,2015-01-03 09:34:18.631817,1,8,23.91,8,23.75
AA,2015-01-03 09:34:22.848093,0,1,25.0,5,23.75
AA,2015-01-03 09:34:22.848140,1,3,23.91,8,23.75
AA,2015-01-03 09:34:22.915525,0,3,23.92,8,23.75
AA,2015-01-03 09:34:22.915703,1,3,23.92,11,23.75
AA,2015-01-03 09:34:22.915977,2,3,23.92,3,23.76
AA,2015-01-03 09:34:22.916954,0,1,25.0,1,22.74
AA,2015-01-03 09:34:22.917145,0,3,23.92,8,23.76
AA,2015-01-03 09:34:28.579359,0,1,25.0,5,23.76
AA,2015-01-03 09:34:31.122012,0,6,23.92,8,23.76
AA,2015-01-03 09:34:31.122529,1,3,23.91,8,23.76
AA,2015-01-03 09:34:31.123609,0,3,23.9,8,23.76
